,romantic,Medu,Fedu,G3,health,age
0,no,4,4,6,3,18
1,no,1,1,6,3,17
2,no,1,1,10,3,15
3,yes,4,2,15,5,15
4,no,3,3,10,5,16
5,no,4,3,15,5,16
6,no,2,2,11,3,16
7,no,4,4,6,1,17
8,no,3,2,19,1,15
9,no,3,4,15,5,15
10,no,4,4,9,2,15
11,no,2,1,12,4,15
12,no,4,4,14,5,15
13,no,4,3,11,3,15
14,yes,2,2,16,3,15
15,no,4,4,14,2,16
16,no,4,4,14,2,16
17,no,3,3,10,4,16
18,no,3,2,5,5,17
19,no,4,3,10,5,16
20,no,4,3,15,1,15
21,no,4,4,15,5,15
22,no,4,2,16,5,16
23,no,2,2,12,5,16
24,no,2,4,8,5,15
25,no,2,2,8,5,16
26,no,2,2,11,5,15
27,no,4,2,15,1,15
28,no,3,4,11,5,16
29,yes,4,4,11,5,16
30,no,4,4,12,5,15
31,no,4,4,17,5,15
32,yes,4,3,16,5,15
33,no,3,3,12,2,15
34,no,3,2,15,5,16
35,no,2,3,6,5,15
36,no,4,3,18,4,15
37,yes,4,4,15,5,16
38,no,3,4,11,5,15
39,no,2,2,13,2,15
40,yes,2,2,11,3,16
41,yes,4,4,12,5,15
42,no,4,4,18,5,15
43,no,2,2,11,1,15
44,no,2,2,9,5,16
45,yes,4,3,6,5,15
46,no,3,3,11,3,16
47,no,4,3,20,2,16
48,no,4,2,14,5,15
49,no,4,4,7,3,15
50,no,2,2,13,4,16
51,no,4,2,13,5,15
52,no,4,2,10,5,15
53,no,4,4,11,5,15
54,no,3,3,13,1,15
55,yes,2,1,10,2,16
56,no,4,3,15,1,15
57,no,4,4,15,5,15
58,no,1,2,9,5,15
59,no,4,2,16,5,16
60,no,4,4,11,4,16
61,yes,1,1,11,5,16
62,no,1,2,9,1,16
63,no,4,3,9,4,16
64,yes,4,3,10,2,15
65,no,4,3,15,1,16
66,yes,4,4,12,3,15
67,no,3,1,6,5,16
68,no,2,2,8,4,15
69,no,3,1,16,3,15
70,no,3,1,15,5,16
71,no,4,2,10,3,15
72,yes,1,1,5,5,15
73,no,3,1,14,5,16
74,no,3,3,11,5,16
75,no,4,3,10,5,15
76,no,4,0,10,1,15
77,yes,2,2,11,3,16
78,no,2,1,10,3,17
79,no,3,4,5,3,16
80,yes,2,3,12,3,15
81,no,2,3,11,5,15
82,no,3,2,6,5,15
83,no,2,2,15,4,15
84,no,1,1,10,4,15
85,yes,4,4,8,5,15
86,no,2,2,6,2,16
87,no,4,2,14,1,15
88,no,2,2,10,3,16
89,no,4,4,7,5,16
90,yes,3,3,8,4,16
91,no,4,3,18,1,15
92,no,3,1,6,2,16
93,no,4,2,10,1,16
94,no,2,2,14,4,15
95,no,1,1,10,1,15
96,no,4,3,15,4,16
97,yes,2,1,10,5,16
98,no,4,4,14,1,16
99,no,4,3,8,3,16
100,no,4,4,5,4,16
101,yes,4,4,17,4,16
102,no,4,4,14,5,15
103,no,3,2,6,2,15
104,no,3,4,18,1,15
105,no,3,3,11,4,15
106,no,2,2,8,3,15
107,no,3,3,18,5,16
108,yes,4,4,13,1,15
109,yes,4,4,16,4,16
110,no,4,4,19,4,15
111,no,3,3,10,2,16
112,no,2,2,13,5,16
113,no,4,2,19,3,15
114,yes,2,1,9,5,15
115,no,4,4,16,5,16
116,no,4,4,14,2,15
117,no,3,3,13,5,16
118,no,1,3,8,5,17
119,no,3,4,13,4,15
120,no,1,2,15,1,15
121,no,2,2,15,5,15
122,yes,2,4,13,5,16
123,no,4,4,13,5,16
124,yes,2,2,8,5,16
125,no,3,4,12,5,15
126,yes,3,4,11,1,15
127,no,0,1,9,5,19
128,no,2,2,0,4,18
129,no,4,4,18,4,16
130,yes,3,4,0,5,15
131,yes,1,1,0,4,15
132,yes,2,2,12,5,17
133,no,3,4,11,5,16
134,yes,3,4,0,5,15
135,yes,4,4,0,5,15
136,no,3,4,0,5,17
137,yes,3,3,0,5,16
138,yes,1,1,12,5,16
139,no,4,4,15,5,15
140,no,4,3,0,3,15
141,no,2,2,9,2,16
142,no,4,4,11,5,15
143,no,1,1,13,1,16
144,no,2,1,0,5,17
145,no,1,1,11,5,15
146,no,3,2,0,3,15
147,no,1,2,11,5,15
148,yes,4,4,0,5,16
149,no,2,1,10,5,15
150,yes,1,1,0,4,18
151,yes,2,1,14,5,16
152,yes,3,3,10,3,15
153,yes,3,2,0,4,19
154,yes,4,4,12,4,17
155,no,2,3,8,1,15
156,no,1,2,13,5,17
157,no,1,1,10,4,18
158,no,2,2,15,3,16
159,yes,3,3,12,5,16
160,yes,2,1,0,5,17
161,yes,3,2,7,3,15
162,no,1,2,0,5,16
163,no,1,3,10,2,17
164,yes,1,1,7,5,17
165,no,3,2,12,2,16
166,no,2,2,10,4,16
167,yes,4,2,16,3,16
168,no,2,2,0,4,16
169,yes,4,4,14,3,16
170,no,3,4,0,2,16
171,yes,1,0,16,3,16
172,no,4,4,10,5,17
173,yes,1,3,0,3,16
174,no,3,3,9,4,16
175,no,4,3,9,4,17
176,no,2,2,11,5,16
177,no,3,3,6,4,17
178,yes,4,2,9,3,16
179,yes,4,3,11,2,17
180,no,4,3,8,3,16
181,yes,3,3,12,3,16
182,no,2,4,17,5,17
183,yes,3,3,8,1,17
184,no,3,2,12,1,16
185,yes,3,3,11,4,17
186,yes,1,2,11,3,16
187,yes,2,1,15,5,16
188,yes,3,3,9,3,17
189,no,1,2,10,3,17
190,no,2,3,13,2,16
191,no,1,1,9,3,17
192,no,1,2,8,5,17
193,no,3,3,10,5,16
194,no,2,3,14,3,16
195,yes,2,4,15,5,17
196,no,4,4,16,5,17
197,no,3,3,10,3,16
198,no,4,4,18,2,17
199,no,4,4,10,3,16
200,no,4,3,16,2,16
201,no,2,3,10,4,16
202,no,1,1,10,1,17
203,no,2,2,6,3,17
204,no,2,2,11,5,16
205,yes,3,4,9,5,17
206,no,3,1,7,4,16
207,yes,4,3,13,1,16
208,no,1,1,10,5,16
209,yes,4,3,7,4,17
210,no,3,3,8,3,19
211,yes,4,4,13,3,17
212,no,2,2,14,4,16
213,no,2,2,8,5,18
214,no,4,4,10,3,17
215,no,3,2,15,1,17
216,yes,4,3,4,1,17
217,no,3,3,8,4,18
218,no,2,3,8,3,17
219,no,2,2,10,4,17
220,no,2,1,6,5,17
221,yes,1,1,0,5,17
222,no,2,3,17,3,16
223,no,2,2,13,4,18
224,no,4,4,14,5,16
225,yes,3,1,7,4,18
226,no,3,2,15,3,17
227,no,2,3,12,3,17
228,yes,2,1,9,3,18
229,yes,2,1,12,3,17
230,yes,4,3,14,3,17
231,no,2,2,11,1,17
232,yes,4,4,9,2,17
233,no,4,4,13,1,16
234,no,1,1,6,5,16
235,yes,3,2,10,2,16
236,yes,2,2,13,4,17
237,yes,2,1,12,5,16
238,no,2,1,11,3,17
239,no,2,2,0,2,18
240,yes,4,3,12,5,17
241,no,4,4,12,4,17
242,no,4,3,0,3,16
243,no,4,4,12,5,16
244,yes,2,1,0,3,18
245,no,2,1,18,4,16
246,no,2,3,13,2,17
247,yes,3,1,8,1,22
248,yes,3,3,5,5,18
249,no,0,2,15,5,16
250,no,3,2,8,5,18
251,no,3,3,10,2,16
252,no,2,1,8,5,18
253,no,2,1,8,3,16
254,no,2,1,12,5,17
255,no,1,1,8,5,17
256,no,4,2,13,4,17
257,no,4,3,11,1,19
258,no,2,1,14,4,18
259,yes,2,2,0,2,17
260,yes,4,3,18,2,18
261,no,4,3,8,3,18
262,no,3,2,12,3,18
263,no,3,3,9,4,17
264,yes,2,2,0,3,18
265,no,3,4,17,1,18
266,yes,3,1,10,5,17
267,no,4,4,11,4,18
268,yes,4,2,10,5,18
269,yes,2,1,0,3,18
270,no,3,3,9,5,19
271,yes,2,3,14,2,18
272,no,1,1,11,3,18
273,yes,1,2,14,1,17
274,yes,2,4,10,1,17
275,yes,2,2,12,5,17
276,yes,3,2,9,5,18
277,no,4,4,9,3,18
278,yes,4,4,8,4,18
279,no,4,3,10,1,18
280,yes,4,1,8,5,17
281,no,3,2,10,3,17
282,no,1,1,12,3,18
283,no,1,1,10,4,18
284,no,2,2,11,5,17
285,no,1,1,11,4,17
286,no,2,2,19,2,18
287,no,1,1,12,3,17
288,no,2,1,14,2,18
289,no,4,4,15,2,18
290,yes,4,2,11,5,18
291,no,4,3,15,3,17
292,yes,2,1,13,5,18
293,no,3,1,18,3,17
294,no,3,2,14,4,18
295,no,3,3,11,5,17
296,no,4,4,0,2,19
297,yes,4,3,8,2,18
298,no,4,3,14,3,18
299,yes,4,4,16,1,18
300,yes,4,4,11,4,18
301,no,4,4,10,5,17
302,no,4,2,14,3,17
303,no,3,2,18,5,17
304,yes,3,3,13,3,19
305,no,2,4,12,3,18
306,no,3,2,18,5,20
307,yes,4,4,8,4,19
308,yes,3,3,12,5,19
309,no,1,1,10,3,19
310,yes,1,2,0,3,19
311,yes,2,1,13,2,19
312,no,1,2,11,4,19
313,yes,3,2,11,1,19
314,yes,1,1,13,3,19
315,yes,2,3,11,3,19
316,no,2,1,0,1,18
317,yes,4,3,9,5,18
318,no,3,4,10,5,17
319,no,4,4,11,5,18
320,yes,4,3,13,5,17
321,yes,2,2,9,3,17
322,no,2,2,11,3,17
323,no,3,1,15,5,17
324,no,0,2,15,2,17
325,no,4,4,11,3,18
326,no,3,3,16,5,17
327,no,2,2,10,4,17
328,no,4,4,9,4,17
329,yes,4,4,14,4,17
330,no,2,2,8,5,18
331,yes,2,4,14,5,17
332,no,3,3,0,4,18
333,yes,2,2,0,2,18
334,no,2,2,0,4,18
335,no,3,4,15,5,17
336,no,3,1,13,5,19
337,yes,3,2,0,2,17
338,no,3,3,17,1,18
339,no,3,2,10,2,17
340,yes,2,1,11,3,19
341,no,4,4,0,2,18
342,yes,3,4,15,5,18
343,yes,2,2,0,4,17
344,no,2,3,10,3,18
345,yes,3,2,14,1,18
346,yes,4,3,16,4,18
347,yes,4,3,9,5,18
348,yes,4,3,15,4,17
349,no,3,2,13,5,18
350,no,1,1,8,2,19
351,no,3,3,13,3,17
352,yes,1,3,8,3,18
353,no,1,1,8,5,19
354,yes,4,3,11,2,17
355,yes,3,3,9,5,18
356,no,4,4,13,5,17
357,yes,3,2,11,5,17
358,yes,1,1,10,3,18
359,no,1,1,16,4,18
360,yes,1,4,13,5,18
361,no,1,1,12,5,18
362,yes,3,3,10,3,18
363,yes,4,4,15,1,17
364,no,1,2,12,3,17
365,no,1,3,10,3,18
366,yes,4,4,13,5,18
367,yes,1,1,0,1,17
368,yes,2,3,10,4,18
369,yes,4,4,11,5,18
370,yes,3,2,9,3,19
371,yes,1,2,12,3,18
372,yes,2,2,11,3,17
373,no,1,2,5,1,17
374,no,4,4,19,1,18
375,no,1,1,10,4,18
376,yes,4,2,15,3,20
377,no,4,4,10,2,18
378,yes,3,3,15,1,18
379,no,3,1,10,1,17
380,no,4,4,14,2,18
381,yes,2,1,7,5,18
382,no,2,3,10,3,17
383,no,1,1,0,5,19
384,no,4,2,5,3,18
385,no,2,2,10,4,18
386,yes,4,4,6,5,18
387,no,2,3,0,5,19
388,no,3,1,8,1,18
389,no,1,1,0,5,18
390,no,2,2,9,4,20
391,no,3,1,16,2,17
392,no,1,1,7,3,21
393,no,3,2,10,5,18
394,no,1,1,9,5,19
